parallelSize,loopSize,dataSize,preloadSize,"('Hazelcast', 'getTestRowList')","('Hazelcast', 'putTestRowList')","('Infinispan', 'getTestRowList')","('Infinispan', 'putTestRowList')"
1,15,large,0,19677702.0,23964548.0,8325295.0,33543472.0
1,15,large,50,5844726.0,8029934.0,2390018.0,3179566.0
1,15,large,100,5273407.0,6344680.0,1801224.0,3024084.0
1,15,large,200,5388616.0,8066351.0,1867739.0,2297921.0
1,15,large,400,5375577.0,9198633.0,1402085.0,2341372.0
10,15,large,0,41880410.0,34626980.0,3384473.0,1627309649.0
10,15,large,50,5969646.0,11586436.0,1592008.0,3958815.0
10,15,large,100,5411726.0,8076919.0,1609246.0,2842197.0
10,15,large,200,5173232.0,7474141.0,1639848.0,179941094.0
10,15,large,400,4883318.0,7236676.0,3246020.0,11902546.0
50,15,large,0,144921908.0,150322162.0,1954303613.0,5010343450.0
50,15,large,50,170730476.0,177738104.0,2406173006.0,3823719009.0
50,15,large,100,175050961.0,176900179.0,900531061.0,3969811847.0
50,15,large,200,117754307.0,44765954.0,1979414967.0,7770861179.0
50,15,large,400,192542747.0,195888159.0,1973278975.0,2772457890.0
100,15,large,0,177853971.0,199158835.0,2469887566.0,9920727924.0
100,15,large,50,232260634.0,237419261.0,3551115184.0,8006940768.0
100,15,large,100,45379922.0,265373359.0,3555957684.0,11727614770.0
100,15,large,200,265687446.0,184642285.0,2681018406.0,9432522059.0
100,15,large,400,28872816.0,197865519.0,2578428798.0,16064395372.0
150,15,large,0,222659590.0,226074400.0,3756515805.0,16054100024.0
150,15,large,50,161137275.0,289054750.0,3560115405.0,28039575753.0
150,15,large,100,334828464.0,341029728.0,4471151166.0,19974615383.0
150,15,large,200,716622050.0,720799397.0,3088807093.0,12107736951.0
150,15,large,400,307989814.0,310678655.0,134658.0,88997.0
200,15,large,0,419256556.0,432217910.0,4721633149.0,6165529383.0
200,15,large,50,265434252.0,269015168.0,5480667936.0,14162718572.0
200,15,large,100,276841351.0,281743523.0,4230458000.0,18119365158.0
200,15,large,200,278368391.0,282519198.0,3932313083.0,14662571478.0
200,15,large,400,353351565.0,351967369.0,,
