parallelSize,loopSize,dataSize,preloadSize,"('Hazelcast', 'getTestRowList')","('Hazelcast', 'putTestRowList')","('Infinispan', 'getTestRowList')","('Infinispan', 'putTestRowList')"
1,15,large,0,1848843.0,4748471.0,26160.0,1437087.0
1,15,large,50,2685431.0,5194919.0,19433.0,1357457.0
1,15,large,100,2437322.0,3394353.0,18163.0,1134087.0
1,15,large,200,2409072.0,4027861.0,16051.0,1116858.0
1,15,large,400,2361953.0,5188487.0,15447.0,1108435.0
10,15,large,0,1706843.0,3563681.0,20008.0,1296470.0
10,15,large,50,1242260.0,3415314.0,11182.0,1167185.0
10,15,large,100,1200952.0,3296278.0,8480.0,1193790.0
10,15,large,200,1193939.0,3504648.0,8445.0,1159730.0
10,15,large,400,1180498.0,3351182.0,8260.0,1195144.0
50,15,large,0,1195082.0,3038238.0,11088.0,1233926.0
50,15,large,50,1169810.0,3028454.0,7603.0,1168248.0
50,15,large,100,1177447.0,3066198.0,7310.0,1212949.0
50,15,large,200,1195586.0,2766333.0,6155.0,1205831.0
50,15,large,400,1181509.0,2678990.0,8089.0,1222003.0
100,15,large,0,1188528.0,3097507.0,7798.0,1190334.0
100,15,large,50,1171720.0,3077323.0,5418.0,1143307.0
100,15,large,100,1261385.0,2734150.0,6969.0,1195138.0
100,15,large,200,1164641.0,2730426.0,7625.0,1155984.0
100,15,large,400,1161530.0,2492368.0,6893.0,1228469.0
150,15,large,0,1178394.0,2708215.0,7004.0,1179971.0
150,15,large,50,1156986.0,2649358.0,4283.0,1117301.0
150,15,large,100,1181716.0,2654627.0,6880.0,1186473.0
150,15,large,200,1170833.0,2788727.0,7263.0,1164091.0
150,15,large,400,1174441.0,2651677.0,7303.0,9215.0
200,15,large,0,1170301.0,2835753.0,5457.0,1215705.0
200,15,large,50,1165480.0,3208954.0,3435.0,1153753.0
200,15,large,100,1217850.0,2571076.0,5816.0,1163660.0
200,15,large,200,1190699.0,2712194.0,6598.0,1196221.0
200,15,large,400,1214149.0,2477534.0,,
