parallelSize,loopSize,dataSize,preloadSize,"('Hazelcast', 'getTestRowList')","('Hazelcast', 'putTestRowList')","('Infinispan', 'getTestRowList')","('Infinispan', 'putTestRowList')"
1,15,large,0,4207806.351571864,4612876.532871428,2176380.8680896126,8075399.668515392
1,15,large,50,1190951.6716908652,807064.2607818667,785886.7210238805,553549.4708575438
1,15,large,100,1083514.5341890545,724751.2101996302,632582.569912923,581387.2177844249
1,15,large,200,1062521.6854886035,1266479.3958073019,625198.6144211865,349383.9429978076
1,15,large,400,1051375.3329579353,1066260.6864673519,508870.3928808255,451690.6953252519
10,15,large,0,4976400.80130171,2937265.887590969,802246.788304466,282708518.2228405
10,15,large,50,937622.7728375113,1249604.9686521126,464729.5311932043,512293.6292815194
10,15,large,100,777934.4218096539,856680.498132856,450924.09148772573,413100.95792011404
10,15,large,200,892404.3234548733,837056.8006961716,447332.2532259108,14519993.238558697
10,15,large,400,809045.0474199578,813407.4198568948,585411.6047482712,918190.0741159918
50,15,large,0,10337823.29486955,5626696.649062496,107878144.28176232,905069323.5509229
50,15,large,50,10690515.622331284,11629099.68912596,150429376.35071105,875408050.8357445
50,15,large,100,8943674.215914683,6520093.365643695,45714246.132828765,777366920.0545416
50,15,large,200,4327858.355160601,1951826.9381556027,140800912.53305596,1296494619.5289946
50,15,large,400,7192426.166066438,7208895.509349613,88214758.84687759,479409488.6115966
100,15,large,0,13086685.971974084,16605120.762123762,183555529.22198227,1969541897.863376
100,15,large,50,10717437.834544139,14035009.356090207,264041535.10796633,1457707592.2197375
100,15,large,100,5355024.90422238,10710386.650383588,335486071.9938747,1806500490.8348458
100,15,large,200,13905788.890636042,7244341.162303841,211836979.446082,1389634308.900326
100,15,large,400,2760020.1055515492,7621192.280611924,261877995.72006086,2908504027.4038525
150,15,large,0,18219370.303565465,24574611.90272732,437688223.84047824,2838599714.8136973
150,15,large,50,9423548.396059714,14471933.553585166,377613170.05702525,4190486345.329526
150,15,large,100,17239358.781417903,26534004.92686408,382028946.21007925,2999996199.687969
150,15,large,200,21253456.13738813,33580933.8209022,361290815.4820324,1923774302.4133842
150,15,large,400,17322243.453046788,23386501.22768149,10483.201192554114,8059.605546302438
200,15,large,0,21647843.84970317,28169039.538783308,460550711.9398672,1342123492.6101568
200,15,large,50,20732803.872322697,26893722.188323557,386381064.7938832,2579994667.964175
200,15,large,100,20604555.572377775,19717091.802206784,498117273.0719749,3199731033.7029405
200,15,large,200,20191167.161785103,24941533.901729524,506741357.09881806,2822286517.2525916
200,15,large,400,17883812.579232547,18550882.25108904,,
